scope,neuron,group,kind,n_epochs,peak_dFF,peak_time_s,sem_at_peak,snr
one_animal,ASER,control,class,6,0.1288,14.99,0.0398,3.24
one_animal,ASER,100mM NaCl,stimulus,3,-0.187,14.25,0.0193,9.7
one_animal,ASER,e-2 IAA,stimulus,3,-0.1875,14.62,0.0934,2.01
one_animal,ASER,e-6 IAA,stimulus,3,0.1271,5.62,0.1272,1.0
one_animal,ASER,OP50,stimulus,3,-0.1302,14.25,0.0413,3.15
one_animal,ASER,450mM NaCl,stimulus,3,-0.2578,13.12,0.0414,6.22
one_animal,ASER,1uM ascr#3,stimulus,3,1.2559,4.12,0.2962,4.24
one_animal,ASER,10mM CuSO4,stimulus,3,3.9512,8.62,1.0141,3.9
one_animal,ASER,800mM Sorbitol,stimulus,3,0.106,0.0,0.034,3.11
one_animal,ASER,Control,stimulus,3,0.1376,0.37,0.0397,3.47
one_animal,ASER,Fluorescein,stimulus,3,0.1765,14.99,0.0704,2.51
one_animal,AWAL,attractant,class,12,1.4354,6.37,0.5514,2.6
one_animal,AWAL,repellent,class,12,0.8237,14.99,0.6701,1.23
one_animal,AWAL,control,class,6,-0.4862,1.12,0.1249,3.89
one_animal,AWAL,100mM NaCl,stimulus,3,-0.5702,2.62,0.1919,2.97
one_animal,AWAL,e-2 IAA,stimulus,3,3.1713,8.62,0.8171,3.88
one_animal,AWAL,e-6 IAA,stimulus,3,-0.4567,9.37,0.2723,1.68
one_animal,AWAL,OP50,stimulus,3,4.1081,10.87,1.1121,3.69
one_animal,AWAL,450mM NaCl,stimulus,3,2.8863,2.62,2.473,1.17
one_animal,AWAL,1uM ascr#3,stimulus,3,-0.4416,11.62,0.2826,1.56
one_animal,AWAL,10mM CuSO4,stimulus,3,-0.6099,12.0,0.2556,2.39
one_animal,AWAL,800mM Sorbitol,stimulus,3,-0.4721,12.37,0.2946,1.6
one_animal,AWAL,Control,stimulus,3,-0.6964,5.25,0.1913,3.64
one_animal,AWAL,Fluorescein,stimulus,3,-0.453,13.5,0.3331,1.36
one_animal,AWCL,attractant,class,12,-0.1803,14.99,0.0591,3.05
one_animal,AWCL,repellent,class,12,0.2006,0.37,0.0706,2.84
one_animal,AWCL,control,class,6,-0.2239,12.75,0.0423,5.3
one_animal,AWCL,100mM NaCl,stimulus,3,-0.1571,9.37,0.1999,0.79
one_animal,AWCL,e-2 IAA,stimulus,3,-0.2158,14.99,0.0519,4.16
one_animal,AWCL,e-6 IAA,stimulus,3,-0.2511,12.75,0.0732,3.43
one_animal,AWCL,OP50,stimulus,3,-0.2198,14.99,0.0814,2.7
one_animal,AWCL,450mM NaCl,stimulus,3,0.3922,0.37,0.2313,1.7
one_animal,AWCL,1uM ascr#3,stimulus,3,0.2675,0.37,0.1072,2.5
one_animal,AWCL,10mM CuSO4,stimulus,3,0.2025,12.0,0.1734,1.17
one_animal,AWCL,800mM Sorbitol,stimulus,3,0.1739,3.0,0.0815,2.13
one_animal,AWCL,Control,stimulus,3,-0.2919,12.75,0.0538,5.42
one_animal,AWCL,Fluorescein,stimulus,3,0.2502,12.0,0.1053,2.38
all_animals,AIBL,attractant,class,96,-0.1407,12.0,0.0407,3.46
all_animals,AIBL,repellent,class,96,0.1116,14.62,0.0706,1.58
all_animals,AIBL,control,class,48,-0.1354,9.75,0.0555,2.44
all_animals,AIBL,100mM NaCl,stimulus,24,0.0444,7.12,0.1143,0.39
all_animals,AIBL,e-2 IAA,stimulus,24,-0.1092,3.37,0.0302,3.62
all_animals,AIBL,e-6 IAA,stimulus,24,-0.146,12.0,0.0349,4.19
all_animals,AIBL,OP50,stimulus,24,-0.3801,14.99,0.0466,8.16
all_animals,AIBL,450mM NaCl,stimulus,24,0.064,9.37,0.0831,0.77
all_animals,AIBL,1uM ascr#3,stimulus,24,0.1857,14.99,0.1332,1.39
all_animals,AIBL,10mM CuSO4,stimulus,24,0.304,14.62,0.2312,1.31
all_animals,AIBL,800mM Sorbitol,stimulus,24,-0.109,13.12,0.0548,1.99
all_animals,AIBL,Control,stimulus,24,-0.146,9.75,0.053,2.76
all_animals,AIBL,Fluorescein,stimulus,24,-0.1473,14.99,0.1158,1.27
all_animals,AVEL,attractant,class,96,0.0816,13.5,0.076,1.07
all_animals,AVEL,repellent,class,96,0.1579,13.12,0.098,1.61
all_animals,AVEL,control,class,48,-0.084,14.99,0.0547,1.54
all_animals,AVEL,100mM NaCl,stimulus,24,0.1961,13.5,0.2185,0.9
all_animals,AVEL,e-2 IAA,stimulus,24,0.3896,11.25,0.1528,2.55
all_animals,AVEL,e-6 IAA,stimulus,24,-0.1056,14.25,0.0728,1.45
all_animals,AVEL,OP50,stimulus,24,-0.1873,11.62,0.0632,2.96
all_animals,AVEL,450mM NaCl,stimulus,24,-0.0534,12.0,0.0817,0.65
all_animals,AVEL,1uM ascr#3,stimulus,24,0.3354,14.25,0.2949,1.14
all_animals,AVEL,10mM CuSO4,stimulus,24,0.4693,13.87,0.2303,2.04
all_animals,AVEL,800mM Sorbitol,stimulus,24,-0.159,14.25,0.0491,3.24
all_animals,AVEL,Control,stimulus,24,-0.0866,6.37,0.0312,2.78
all_animals,AVEL,Fluorescein,stimulus,24,-0.1363,14.99,0.0751,1.81
all_animals,AVAL,attractant,class,96,-0.0725,12.75,0.0551,1.32
all_animals,AVAL,repellent,class,96,0.2029,14.99,0.1158,1.75
all_animals,AVAL,control,class,48,-0.0777,12.37,0.0931,0.84
all_animals,AVAL,100mM NaCl,stimulus,24,0.1992,4.87,0.1754,1.14
all_animals,AVAL,e-2 IAA,stimulus,24,-0.0991,14.99,0.0724,1.37
all_animals,AVAL,e-6 IAA,stimulus,24,-0.1658,14.99,0.0435,3.81
all_animals,AVAL,OP50,stimulus,24,-0.2352,11.62,0.065,3.62
all_animals,AVAL,450mM NaCl,stimulus,24,0.0974,6.37,0.1043,0.93
all_animals,AVAL,1uM ascr#3,stimulus,24,0.4978,14.99,0.3576,1.39
all_animals,AVAL,10mM CuSO4,stimulus,24,0.3814,6.75,0.2762,1.38
all_animals,AVAL,800mM Sorbitol,stimulus,24,-0.1016,11.25,0.041,2.48
all_animals,AVAL,Control,stimulus,24,-0.0996,12.37,0.0835,1.19
all_animals,AVAL,Fluorescein,stimulus,24,-0.085,14.25,0.169,0.5
all_animals,RIML,attractant,class,96,-0.0577,8.25,0.0468,1.23
all_animals,RIML,repellent,class,96,0.1687,13.87,0.097,1.74
all_animals,RIML,control,class,48,-0.1294,12.37,0.0559,2.31
all_animals,RIML,100mM NaCl,stimulus,24,0.0968,6.0,0.1511,0.64
all_animals,RIML,e-2 IAA,stimulus,24,-0.092,5.62,0.0408,2.26
all_animals,RIML,e-6 IAA,stimulus,24,-0.0748,7.87,0.0428,1.75
all_animals,RIML,OP50,stimulus,24,-0.2082,12.75,0.0634,3.28
all_animals,RIML,450mM NaCl,stimulus,24,0.2717,4.87,0.1685,1.61
all_animals,RIML,1uM ascr#3,stimulus,24,0.225,12.37,0.2147,1.05
all_animals,RIML,10mM CuSO4,stimulus,24,0.3273,13.87,0.2897,1.13
all_animals,RIML,800mM Sorbitol,stimulus,24,-0.0899,12.0,0.0389,2.31
all_animals,RIML,Control,stimulus,24,-0.0592,0.75,0.043,1.38
all_animals,RIML,Fluorescein,stimulus,24,-0.223,10.87,0.0421,5.3
all_animals,ASEL,attractant,class,96,0.2413,3.0,0.0553,4.36
all_animals,ASEL,repellent,class,96,0.1822,2.62,0.0374,4.87
all_animals,ASEL,control,class,48,0.1026,3.37,0.0284,3.61
all_animals,ASEL,100mM NaCl,stimulus,24,0.5474,3.0,0.1443,3.79
all_animals,ASEL,e-2 IAA,stimulus,24,-0.0724,9.37,0.033,2.19
all_animals,ASEL,e-6 IAA,stimulus,24,-0.1108,6.0,0.0329,3.37
all_animals,ASEL,OP50,stimulus,24,0.5468,6.37,0.1425,3.84
all_animals,ASEL,450mM NaCl,stimulus,24,0.5038,7.5,0.1198,4.2
all_animals,ASEL,1uM ascr#3,stimulus,24,-0.1133,11.62,0.0348,3.26
