,ASEL,ASER,AWAL,AWCL
ASEL,0.13302426273999862,0.01711979812786725,0.03261002927811077,0.009000494771503026
ASER,0.02054000648654019,0.2381669859588049,0.0152330481939415,0.012404748334196664
AWAL,0.029835040671282433,0.013628934355016248,0.07345208187326749,0.009207892909972315
AWCL,0.013938089370706709,0.01332408986605138,0.016529790233368535,0.16030157485034327
