window_s,substrate,state_stim,state_base,phi_stim,phi_base,n_dist_stim,n_dist_base,n_rel_stim,n_rel_base,observed_D,null_mean,null_sd,z,p,n_perm
20,core 4n,0000,0000,83.11,78.467,15,15,4829,5159,1.0988,0.9484,0.2823,0.533,0.3576,150
20,sensory 4n,0000,0000,6.21,9.192,15,15,874,3051,1.4269,1.5348,0.2834,-0.381,0.649,150
