regime,rep,phi_0000,phi_1000,phi_1111,argmax,rho_vs_full
static,0,29.431329023509257,1.812635784503419,1.0438119325227635,0000,0.6029411764705882
static,1,15.886536161636009,1.136157380785757,3.1240182640127148,0000,0.8470588235294119
static,2,31.624965060155304,1.2492849502986152,2.248102921643556,0000,0.8676470588235294
static,3,25.91387000223451,0.952438884663233,2.415440502026383,0000,0.7941176470588236
static,4,20.60961870131281,0.9663759099764315,1.6202893717322002,0000,0.7999999999999999
static,5,30.3779766138403,0.9694551179168747,1.8970181428726853,0000,0.7411764705882353
static,6,17.376835259568217,1.177010631220179,5.922977498274609,0000,0.8676470588235294
static,7,11.6675106951319,1.3187633753878494,1.4098023971365312,0000,0.6470588235294118
static,8,24.843585651941957,0.9409754487283724,1.985539803040626,0000,0.7176470588235294
static,9,15.146297350576726,1.024617259175736,1.6714472640448546,0000,0.6323529411764706
stim_on,0,17.23115502134522,2.5133359585934385,14.019087727454526,0000,0.7705882352941176
stim_on,1,22.511958913828934,6.091832939642333,3.2504605203167998,0000,0.7470588235294118
stim_on,2,5.910408515043752,14.172610004380148,11.693092080575363,1000,0.9088235294117648
stim_on,3,9.339963096360309,1.9999047415053721,4.535377679703927,0000,0.8323529411764706
stim_on,4,17.841093170695615,3.743579941727533,11.69350904148347,0000,0.5588235294117647
stim_on,5,27.45492708040706,2.4116127147010364,7.523193516246181,0000,0.6852941176470588
stim_on,6,4.617813828449393,12.032381941979567,23.23107120443832,1111,0.8264705882352942
stim_on,7,7.089770172808155,7.489445137961516,6.487510852550125,1000,0.9323529411764706
stim_on,8,15.09352060690047,1.6614815539753125,27.707183254227605,1111,0.7852941176470588
stim_on,9,6.096923065504203,6.93035212659098,6.70500530977055,1000,0.6705882352941177
stim_off,0,19.83780466887589,0.6513177332180072,0.9491806448666735,0000,0.7323529411764707
stim_off,1,14.99921982184547,0.81312699788467,0.8630801285187018,0000,0.6382352941176471
stim_off,2,30.617775267955828,1.0473682209817632,6.331604905744457,0000,0.38823529411764707
stim_off,3,44.660133452776954,0.7181627194574098,1.3056765258389496,0000,0.7441176470588236
stim_off,4,38.277861258269915,0.951517760296626,0.7628267733679632,0000,0.5147058823529412
stim_off,5,30.81175763211287,0.7478088840869135,2.716040115472872,0000,0.8941176470588235
stim_off,6,29.966050043115757,0.6790448431609029,4.840157999075792,0000,0.6411764705882352
stim_off,7,41.42670149487121,0.8688719626605568,1.9374382055962465,0000,0.8617647058823529
stim_off,8,14.002378354105506,1.0200085647839803,3.3010075077727126,0000,0.6588235294117648
stim_off,9,55.54037862483077,0.8306626573687246,5.35426040240246,0000,0.6352941176470589
