lag_s,AIBL,AVEL,AVAL,RIML,ASEL,ASER,AWAL,AWCL
-59.97991564571199,-0.006301749960663157,0.006002522581269867,0.0016243324190074009,-0.00014665557849859005,0.05730949783491979,0.09402380573168623,0.09786941848834602,-0.06012765050784976
-59.60504117292629,-0.009272986365018592,0.0044687039801109395,-0.00010129961626338278,-0.0016623134436633755,0.05845984799120495,0.09612782153830668,0.09962825833623826,-0.06384130673454291
-59.23016670014059,-0.0119165203547039,0.003035633274173301,-0.0019613158880381325,-0.003367941841853337,0.05942773180866788,0.09829513164066461,0.10075984154434656,-0.06606619757029995
-58.855292227354894,-0.01437952440719644,0.001264618802360801,-0.0037709079606186857,-0.004936426925171525,0.05956160559845684,0.09993188184605799,0.10049465261639953,-0.06715426568028858
-58.480417754569196,-0.016924755605146367,-0.0006069354838893982,-0.00563911118493127,-0.00668487588446305,0.05937519150944275,0.10123446728560193,0.09878590582159269,-0.06708150546622806
-58.1055432817835,-0.01912819325568439,-0.002425261858945574,-0.007524749888737348,-0.008379920030321961,0.05890507291053036,0.10202085008083539,0.09614331019630978,-0.06593548869328458
-57.73066880899779,-0.02129652049583486,-0.004277696468549368,-0.009451905555172313,-0.010137058833479522,0.058167910426884475,0.10205298617807645,0.09322971009358415,-0.06379369537225239
-57.35579433621209,-0.023201693863294653,-0.006033670039452257,-0.011336214788005302,-0.011928649531912802,0.05698262246887069,0.10172996462369371,0.0905378309274449,-0.0610953199766348
-56.980919863426394,-0.025192789287105895,-0.0077916819063453754,-0.013182492620928354,-0.013623638773151543,0.055984427832578544,0.10112838057046993,0.08723467158792049,-0.05776371520992847
-56.606045390640695,-0.027228090149120796,-0.009554306291360929,-0.014882975104117749,-0.015320765651518022,0.054443775549730754,0.10007802586715776,0.08369110193482529,-0.053795119895864676
-56.231170917854996,-0.029004350121358474,-0.011284294608172697,-0.016679117836321044,-0.017088605320822466,0.052989869440180665,0.09849055190377015,0.07980194193648764,-0.049531820162604656
-55.8562964450693,-0.030579897031442885,-0.01297506464055126,-0.01837618992730382,-0.018606234440228474,0.05188986955238023,0.09677871345893009,0.0757639944406964,-0.04515403895163408
-55.48142197228359,-0.032107178630909027,-0.0146439665647546,-0.019978043965032177,-0.020059743801354175,0.05077594355911767,0.09500036950772542,0.07144159693395788,-0.0402608916049423
