rep,phi0,argmax,rho_vs_fulloff,rho_vs_on
0,23.280397072218033,0000,0.4647058823529412,0.28529411764705886
1,34.771163099205545,0000,0.4852941176470588,0.35000000000000003
2,27.57437342068973,0000,0.7529411764705882,0.18823529411764706
3,29.637386029474992,0000,0.45,0.36470588235294116
4,10.9387113509088,0000,0.5676470588235295,0.08529411764705883
5,62.90581168948659,0000,0.6941176470588235,0.27058823529411763
6,14.492582830663242,0000,0.3,0.37941176470588234
7,23.46398372129854,0000,0.7235294117647059,0.23823529411764705
