dip,off_amp,d_occ0
-2.7510229575009415,0.6980624999999996,-0.15
-1.5099565147037173,0.09587499999999981,-0.07500000000000001
-0.4123118417706446,0.05618749999999991,-0.024999999999999994
-1.279659994893935,0.537,-0.075
-2.434876057717859,0.17262500000000008,-0.15
-1.104148958940375,0.1360625,-0.075
2.2986983770234284,0.038750000000000034,0.125
-1.4093245063741602,0.04156250000000001,-0.07500000000000001
1.6448834714737144,-0.00493750000000013,0.1
-0.32825943182049566,-0.007624999999999951,-0.025
-1.8639208001687027,0.061937499999999965,-0.1
-1.7346625481730866,0.12362499999999996,-0.1
0.37441446406711343,0.0295625,0.024999999999999994
0.5812257419956581,-0.048312499999999994,0.04999999999999999
-0.503784602518655,0.8466875000000003,-0.024999999999999994
-1.894161987912089,0.23400000000000026,-0.1
-1.4243737946741226,0.0923750000000001,-0.075
0.36237450448587616,0.11731250000000006,0.024999999999999994
-1.0212191257369807,0.02062500000000008,-0.05
0.686940603957845,0.034000000000000044,0.02500000000000001
1.6968779898617647,0.1276875000000001,0.075
0.6813246063477956,0.050937500000000024,0.02500000000000001
-0.6103887264036483,0.017749999999999808,-0.024999999999999994
-0.3954008135774343,0.037625000000000006,-0.024999999999999994
-0.9903563210918476,0.0012499999999998719,-0.05
0.853373570364178,-0.009437499999999842,0.05
-2.9078011833661597,0.06568750000000009,-0.15
0.2069321832286808,0.0032500000000000584,0.0
0.09524004177617451,0.037687499999999874,0.0
1.792045263321421,0.08725000000000013,0.075
-1.218343063763728,0.12693749999999981,-0.075
-1.3844129616976468,0.05112499999999995,-0.07500000000000001
-0.3075953061824763,0.19456249999999997,-0.02500000000000001
-0.58199600114341,0.05206249999999997,-0.02500000000000001
0.17162196268257413,0.08837500000000001,0.0
2.432418013752304,-0.19074999999999975,0.125
-0.5762891669317867,0.048937500000000037,-0.024999999999999994
-2.132332554974143,0.05300000000000004,-0.09999999999999999
1.2614221558292238,0.15549999999999997,0.07499999999999998
0.11676123958071072,0.06993749999999997,0.0
-1.4643781148417805,0.0877500000000001,-0.075
-0.3135566458706398,0.46012500000000006,-0.02500000000000001
-0.9306712677722389,0.06518749999999994,-0.049999999999999996
-1.3752741905385695,0.013687499999999964,-0.075
0.07824076164167604,0.2717499999999998,0.0
-1.2727723145268732,0.13812499999999997,-0.075
1.47209576901286,0.1266875000000001,0.07500000000000001
0.5021888954376437,0.48543749999999997,0.024999999999999994
1.200720315436533,0.10731250000000006,0.05
-1.1835247868345107,0.06368750000000005,-0.075
-0.604573647198384,0.16206250000000003,-0.04999999999999999
0.45686228216007185,-0.13462499999999994,0.024999999999999994
0.22927582680200542,0.050312500000000024,0.0
-1.3696286665010091,0.31881249999999994,-0.075
-0.49431038767836766,0.2409375,-0.024999999999999994
-1.3636012241272186,0.24468750000000017,-0.075
-1.4258346061228862,0.04512499999999989,-0.075
-2.288988359270136,0.040812499999999974,-0.125
-3.650572408724489,0.19431250000000014,-0.2
0.09358223479724082,0.22687499999999994,0.0
-2.5784956962145493,0.06937499999999985,-0.125
-1.1365736207347275,0.5401874999999996,-0.075
-0.6465440494925438,0.3958124999999997,-0.05
0.6534629575252333,0.25999999999999995,0.0
-1.414361806252523,0.1137499999999998,-0.075
1.045422330210477,0.1000625000000003,0.05
0.4071151481567443,0.02487499999999991,0.024999999999999994
-2.2680426149391737,0.24143750000000008,-0.125
-2.823941621914947,0.0032500000000001313,-0.15000000000000002
-0.8883294776661859,-0.00912499999999998,-0.04999999999999999
-2.1273080716179744,0.22206249999999997,-0.1
0.7981342883118487,0.005124999999999925,0.05
-1.3428639887023186,0.05881249999999999,-0.075
0.523517074141298,0.12731249999999988,0.025
-0.8928290038570426,0.09006249999999995,-0.05
1.030354481722898,0.04625000000000005,0.04999999999999999
-0.8255315639965817,0.13793749999999994,-0.05
-0.2988816829481804,0.08693749999999997,-0.02500000000000001
0.46115656457502974,0.028812499999999967,0.024999999999999994
-2.40871754110526,0.5563749999999997,-0.125
-3.434058494697834,0.3331874999999998,-0.175
-2.1911338069115662,0.2160625000000002,-0.12499999999999999
-0.5934725153954301,0.06637500000000009,-0.02500000000000001
-1.613576928598624,-0.014875000000000096,-0.075
-1.3711630300549151,0.4368125,-0.075
2.0167178438255147,0.6043749999999999,0.1
-2.3102067185383564,0.10831250000000045,-0.125
0.9617444689511205,0.05918749999999995,0.049999999999999996
-0.8651615582886092,0.16393749999999985,-0.05
0.323243522314026,0.08262500000000007,0.0
-0.7978000760431185,0.48100000000000004,-0.05
-2.0246900974566984,0.2988124999999999,-0.1
-0.5338728275713818,-0.021750000000000082,-0.024999999999999994
-2.2041630341895457,0.5381875000000002,-0.125
-0.16588896851069546,0.022687500000000062,0.0
0.5701503393029206,0.02737500000000003,0.024999999999999994
2.309807652651156,1.0545624999999996,0.1
-0.8010335221062226,0.06468750000000012,-0.04999999999999999
1.7983449110378844,0.00012499999999999057,0.1
-0.4024894827655774,-0.01487500000000002,-0.02500000000000001
0.437744401787159,-0.03837499999999999,0.02500000000000001
-0.004634914674193968,-0.11787500000000013,0.0
-0.40264383924298963,0.10625000000000007,-0.02500000000000001
-0.9180357069356875,0.01818749999999989,-0.05
0.9495883188409837,0.04874999999999996,0.05
-0.8865320657124909,-0.01237499999999988,-0.049999999999999996
0.9413523817352107,-0.015187499999999916,0.05
-1.9640857311403201,0.38068749999999996,-0.1
0.1700529190633422,0.2111875000000002,0.0
-0.33175000251159714,0.15500000000000005,0.0
-0.15451924180315801,0.42106249999999995,0.0
-0.8557433430904475,0.03125000000000002,-0.049999999999999996
-2.4745035640789714,0.07443749999999999,-0.125
0.31055307918616126,0.12781250000000044,0.024999999999999994
-0.3367825099186006,0.06206249999999994,-0.024999999999999994
-2.9410757007609476,0.14706250000000012,-0.15
-0.46504636713596303,0.0979374999999999,-0.024999999999999994
-1.325902851008224,-0.014562499999999973,-0.075
1.0259732995272488,0.05175000000000012,0.04999999999999999
-2.1897302498851774,0.8818125000000001,-0.125
-0.7419432559703218,0.3956875,-0.049999999999999996
-1.2658351972067332,0.10674999999999989,-0.07500000000000001
1.294607045476488,0.005749999999999977,0.05
0.2301728588041354,-0.003937500000000113,0.0
-0.29409545845962226,0.022875000000000027,0.0
-15.515467586505329,-0.11487499999999999,-0.8250000000000001
