substrate,signal_mean,signal_sd,noise_mean,noise_sd,ratio,p_signal_gt_noise,cohens_d,full_data_distance
4 neurons,0.8117,0.2453,0.8509,0.255,0.954,0.75483,-0.157,0.754
3 neurons,0.2355,0.0691,0.2467,0.1135,0.955,0.37787,-0.118,
