kind,D
noise_1000,0.09185043552565567
noise_1000,0.21946394782528797
noise_1000,0.19694747560796294
noise_1000,0.370529416689749
noise_1000,0.9342919418889988
noise_1000,1.4437776395990085
noise_1000,0.19754687513072072
noise_1000,0.1717191238245347
noise_1000,0.20760287925698817
noise_1000,0.38936123609956186
noise_1000,0.9302494814391314
noise_1000,1.4360170658288858
noise_1000,0.20469147714862373
noise_1000,0.17991106888320463
noise_1000,0.33320026056203056
noise_1000,0.8752302524936388
noise_1000,1.3987104735884577
noise_1000,0.18179298323144544
noise_1000,0.3459666583886445
noise_1000,0.913300095230059
noise_1000,1.4238494644376711
noise_1000,0.2153421116848496
noise_1000,0.7669315378263211
noise_1000,1.34125492633654
noise_1000,0.27770640482621434
noise_1000,1.6097459131951337
noise_1000,0.8246671017083937
noise_1000,1.3751754961525176
noise_0111,2.167659981851766
noise_0111,5.734249366562489
noise_0111,2.7209595172591974
noise_0111,3.8067035891668373
noise_0111,2.7501574474678883
noise_0111,3.7491077631438405
noise_0111,2.4664106006908484
noise_0111,5.434638907542973
noise_0111,2.004746821128428
noise_0111,2.377420399162747
noise_0111,1.579809745732907
noise_0111,2.7245338307640146
noise_0111,0.7028526502359556
noise_0111,5.18729434214379
noise_0111,6.237165072504085
noise_0111,5.855615664193195
noise_0111,5.211681057538673
noise_0111,5.259144455233866
noise_0111,2.9472740285959844
noise_0111,2.46743572531687
noise_0111,2.9617822089815107
noise_0111,1.9335557279574105
noise_0111,2.748523236142739
noise_0111,3.522987076813093
noise_0111,2.2369922997957996
noise_0111,2.9882181648764607
noise_0111,1.296897760806678
noise_0111,2.430148299138833
signal,2.534532894298831
signal,0.6386891246768569
signal,5.593433250465175
signal,2.027094440435392
signal,2.1646262196977673
signal,1.8815653642834353
signal,2.902785268522966
signal,0.5317440755695423
