stimulus,class,state,Phi,n_dist,n_rel
100mM NaCl,attractant,1101,8.21,9,61
e-2 IAA,attractant,0011,5.94,7,17
e-6 IAA,attractant,1101,8.21,9,61
OP50,attractant,1100,5.68,5,7
450mM NaCl,repellent,1100,5.68,5,7
1uM ascr#3,repellent,1000,7.12,8,44
10mM CuSO4,repellent,1001,5.63,5,7
800mM Sorbitol,repellent,1101,8.21,9,61
Control,control,1010,6.14,8,20
Fluorescein,control,1001,5.63,5,7
